pilot,records,peaks
Kurt Müller,2,Glogghüs;Vorder Glärnisch
Köbi Zemp,2,Schongütsch;Farneren
Lionel Troillet,2,Petit-Combin;Mont Rogneux
Lorenz Brusa,2,Naafkopf;Kamor
Louis Sutter,2,Rickhubel;Zingel
Luca Godenzi,2,Piz Belvair;Curnasel
Ludovic Maitre,2,Mont Blanc - Monte Bianco;Mont de l'Étoile
Ludovic Vulliemin,2,Bellalui;Pointe de Balachaux
Lukas Wille,2,Pizzo coca;Rot Turm
Manfred Haas,2,Esel;Oberhaupt
Marc Schori,2,Wetterhorn;Hoganthorn
Marc Schuler,2,Steiglihorn;Rosegg
Marc Thévenaz,2,Pointe d'Euzanne;Dent Rouge
Mario Wenger,2,Petit Mont Bonvin;Birehubel
Markus Müller,2,Wissberg;Gummen
Markus Schwyter,2,Marchzähne;Adlerspitzli
Martin Faeh,2,Garmil;Rundchopf
Martin Lehmann,2,Risetenstock;Chamerstock
Mathieu Thuner,2,Dent de Jaman;Les Pléiades
Matthias Gschwind,2,Blauberg;Tguma
Matthias Thaler,2,Arnihaggen;Gräfimattstand
Mengin Bastien,2,Piz Curnera;Mont Brûlé
Michael Caviezel,2,Cuncels;Chli Güslen
Michael Fuchs,2,Madone;Madone
Michael Rohner,2,Piz Corvatsch;Summerigchopf
Michael Soland,2,Pizzo Dromegio;Cima della Trosa
Nicolas Jacquod,2,Rot Nollen;Tube
Niklaus Schwizer,2,Piz Mez;Spitzenbüel
Ondrej Prochazka,2,Six Blanc;Piz de Molinera
Pascal Barmet,2,Chatz u Mus;Chälberstöckli
Pascal Hörler,2,Lenzerhorn;Federispitz
Pascal Oberson,2,Gros Perré;Vanil Blanc
Patrick Perrin,2,Les Cornettes de Bise;Roc d'Orsay
Patrik Caspar,2,Grossstrubel;Tiaun
Paul Neuenschwander,2,Rotbrätthoren;Lasenberg
Peter Vogler,2,Wildgärst;Finsterbüel
Philipp Klauser,2,Rocher du Midi;Wänifirst
Philipp Meyer,2,Arvigrat;Buochserhorn
Philippe Gavillet,2,Cape au Moine;Tête du Paccot
Pierre Oberson,2,Rocher Plat;Pointe de Cray
Pietro Gioli,2,Motto Crostel;Mottarone
Raoul Geiger,2,Höchst;Schafchopf
Raphael Pongratz 🪂,2,Sulzfluh;Fähnerenspitz
Raphi Bauer,2,Piz da l'Ova Cotschna;Piz Campasc
Reinhard Zocher,2,Schwarzhorn;First
René Bürgin,2,Farlenegg;Schwantenhorn
René Mühlemann,2,Horlini;Hundsrügg
Reto Reiser,2,Klein Matterhorn;Roggenstock
Rico Meuli,2,Piz Curvér;Piz Neaza
Robert Rauner,2,Glannachopf;Hurst
Roger Brunner,2,Winterberg;Rislauhoger
